Class,Injured,Gender,Item,Filename
"Zombie","True","Female","None","consolidated_dataset/test_00175.png"
"Default","True","Female","Staff","consolidated_dataset/test_00176.png"
"Zombie","False","Male","None","consolidated_dataset/test_00177.png"
"Default","False","Male","None","consolidated_dataset/test_00178.png"
"Zombie","False","Female","Bow","consolidated_dataset/test_00179.png"
"Zombie","True","Male","Hammer","consolidated_dataset/test_00180.png"
"Zombie","False","Female","None","consolidated_dataset/test_00181.png"
"Default","False","Male","None","consolidated_dataset/test_00182.png"
"Default","True","Male","None","consolidated_dataset/test_00183.png"
"Default","True","Female","None","consolidated_dataset/test_00184.png"
"Default","False","Male","Hammer","consolidated_dataset/test_00185.png"
"Default","False","Female","Hammer","consolidated_dataset/test_00186.png"
"Default","False","Female","None","consolidated_dataset/test_00187.png"
"Default","True","Male","None","consolidated_dataset/test_00188.png"
"Default","False","Female","None","consolidated_dataset/test_00189.png"
"Default","True","Male","Staff","consolidated_dataset/test_00190.png"
"Default","False","Male","Hammer","consolidated_dataset/test_00191.png"
"Zombie","False","Female","None","consolidated_dataset/test_00192.png"
"Default","False","Male","Hammer","consolidated_dataset/test_00193.png"
"Default","False","Female","None","consolidated_dataset/test_00194.png"
"Zombie","False","Male","Staff","consolidated_dataset/test_00195.png"
"Default","False","Male","Hammer","consolidated_dataset/test_00196.png"
"Zombie","False","Female","None","consolidated_dataset/test_00197.png"
"Zombie","True","Male","None","consolidated_dataset/test_00198.png"
"Zombie","False","Female","None","consolidated_dataset/test_00199.png"
